Rank,Title,Rating,Genre,Members,Type,# of Episodes,Licensor,Studio,Source,Duration,Premiered,Favorites
Ranked #238,Stand By Me Doraemon 2,8.28,"Genres: Comedy, Kids, Sci-Fi, Seinen","Members 7,989",Type: Movie,Episodes: 1,"Licensors: None found, add some","Studios: Shirogumi, Shin-Ei Animation",Source: Manga,Duration: 1 hr. 35 min.,Null,Favorites: 51
Ranked #239,Tenkuu no Shiro Laputa,8.28,"Genres: Adventure, Fantasy, Romance, Sci-Fi","Members 371,840",Type: Movie,Episodes: 1,"Licensors: Walt Disney Studios, GKIDS",Studios: Studio Ghibli,Source: Original,Duration: 2 hr. 4 min.,Null,"Favorites: 3,128"
Ranked #240,Tonari no Totoro,8.28,"Genres: Adventure, Comedy, Supernatural","Members 811,895",Type: Movie,Episodes: 1,"Licensors: Walt Disney Studios, GKIDS",Studios: Studio Ghibli,Source: Original,Duration: 1 hr. 26 min.,Null,"Favorites: 6,200"
Ranked #241,Ashita no Joe,8.28,"Genres: Action, Drama, Shounen, Slice of Life, Sports","Members 64,643",Type: TV,Episodes: 79,"Licensors: None found, add some",Studios: Mushi Production,Source: Manga,Duration: 25 min. per ep.,Premiered: Spring 1970,"Favorites: 1,440"
Ranked #242,Gin no Saji 2nd Season,8.28,"Genres: Comedy, School, Shounen, Slice of Life","Members 126,557",Type: TV,Episodes: 11,Licensors: Aniplex of America,Studios: A-1 Pictures,Source: Manga,Duration: 24 min. per ep.,Premiered: Winter 2014,Favorites: 593
Ranked #243,Gintama: Shinyaku Benizakura-hen,8.28,"Genres: Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Members 34,566",Type: Special,Episodes: 1,"Licensors: None found, add some",Studios: Sunrise,Source: Manga,Duration: 11 min.,Null,Favorites: 41
Ranked #244,Gyakkyou Burai Kaiji: Ultimate Survivor,8.28,"Genres: Game, Psychological, Thriller, Seinen","Members 269,695",Type: TV,Episodes: 26,Licensors: Sentai Filmworks,Studios: Madhouse,Source: Manga,Duration: 23 min. per ep.,Premiered: Fall 2007,"Favorites: 7,893"
Ranked #245,Hajime no Ippo: Champion Road,8.28,"Genres: Comedy, Shounen, Sports","Members 104,637",Type: Special,Episodes: 1,"Licensors: Discotek Media, Geneon Entertainment USA",Studios: Madhouse,Source: Manga,Duration: 1 hr. 30 min.,Null,Favorites: 174
Ranked #246,Hunter x Hunter: Greed Island Final,8.28,"Genres: Action, Adventure, Super Power, Fantasy, Shounen","Members 119,574",Type: OVA,Episodes: 14,"Licensors: None found, add some",Studios: Nippon Animation,Source: Manga,Duration: 24 min. per ep.,Null,Favorites: 214
Ranked #247,Douluo Dalu: Hanhai Qian Kun,8.27,"Genres: Action, Adventure, Historical, Romance, Martial Arts, Fantasy","Members 2,407",Type: ONA,Episodes: 13,"Licensors: None found, add some",Studios: Sparkly Key Animation Studio,Source: Novel,Duration: 21 min. per ep.,Null,Favorites: 11
Ranked #248,No Game No Life: Zero,8.27,"Genres: Game, Supernatural, Drama, Romance, Fantasy","Members 678,375",Type: Movie,Episodes: 1,Licensors: Sentai Filmworks,Studios: Madhouse,Source: Light novel,Duration: 1 hr. 46 min.,Null,"Favorites: 6,626"
Ranked #249,Re:Zero kara Hajimeru Isekai Seikatsu,8.27,"Genres: Psychological, Drama, Thriller, Fantasy","Members 1,694,335",Type: TV,Episodes: 25,Licensors: Funimation,Studios: White Fox,Source: Light novel,Duration: 25 min. per ep.,Premiered: Spring 2016,"Favorites: 54,405"
Ranked #250,Tokyo Revengers,8.27,"Genres: Action, Drama, School, Shounen, Supernatural","Members 459,280",Type: TV,Episodes: Unknown,"Licensors: None found, add some",Studios: LIDENFILMS,Source: Manga,Duration: 23 min.,Premiered: Spring 2021,"Favorites: 7,205"
Ranked #201,Fate/stay night: Unlimited Blade Works 2nd Season,8.33,"Genres: Action, Fantasy, Magic, Supernatural","Members 678,227",Type: TV,Episodes: 13,Licensors: Aniplex of America,Studios: ufotable,Source: Visual novel,Duration: 24 min. per ep.,Premiered: Spring 2015,"Favorites: 7,606"
Ranked #202,K-On! Movie,8.33,"Genres: Music, Slice of Life, Comedy","Members 262,186",Type: Movie,Episodes: 1,Licensors: Sentai Filmworks,Studios: Kyoto Animation,Source: 4-koma manga,Duration: 1 hr. 50 min.,Null,"Favorites: 2,062"
Ranked #203,Major: World Series,8.33,"Genres: Comedy, Drama, Shounen, Sports","Members 31,339",Type: OVA,Episodes: 2,"Licensors: None found, add some",Studios: SynergySP,Source: Manga,Duration: 28 min. per ep.,Null,Favorites: 88
Ranked #204,Natsume Yuujinchou,8.33,"Genres: Slice of Life, Demons, Supernatural, Drama, Shoujo","Members 441,535",Type: TV,Episodes: 13,"Licensors: NIS America, Inc.",Studios: Brain's Base,Source: Manga,Duration: 24 min. per ep.,Premiered: Summer 2008,"Favorites: 13,392"
